aqid,GFMS_TotalArea_km,GFMS_%Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration
111011,0.0,0.0,0.0,0.0,3
111012,0.0,0.0,0.0,0.0,3
111013,0.0,0.0,0.0,0.0,3
111014,0.0,0.0,0.0,0.0,3
111015,0.0,0.0,0.0,0.0,3
111016,0.0,0.0,0.0,0.0,3
111017,0.0,0.0,0.0,0.0,3
111018,0.0,0.0,0.0,0.0,3
111019,0.0,0.0,0.0,0.0,3
111020,0.0,0.0,0.0,0.0,3
111030,0.0,0.0,0.0,0.0,3
111041,0.0,0.0,0.0,0.0,3
111042,0.0,0.0,0.0,0.0,3
111043,0.0,0.0,0.0,0.0,3
111044,0.0,0.0,0.0,0.0,3
111045,0.0,0.0,0.0,0.0,3
111046,0.0,0.0,0.0,0.0,3
111047,0.0,0.0,0.0,0.0,3
111048,0.0,0.0,0.0,0.0,3
111049,0.0,0.0,0.0,0.0,3
111050,0.0,0.0,0.0,0.0,3
111060,0.0,0.0,0.0,0.0,3
111070,0.0,0.0,0.0,0.0,3
111081,0.0,0.0,0.0,0.0,3
111082,0.0,0.0,0.0,0.0,3
111083,0.0,0.0,0.0,0.0,3
111084,0.0,0.0,0.0,0.0,3
111085,0.0,0.0,0.0,0.0,3
111086,0.0,0.0,0.0,0.0,3
111087,0.0,0.0,0.0,0.0,3
111088,0.0,0.0,0.0,0.0,3
111089,0.0,0.0,0.0,0.0,3
111090,0.0,0.0,0.0,0.0,3
111091,0.0,0.0,0.0,0.0,3
111092,0.0,0.0,0.0,0.0,3
111093,0.0,0.0,0.0,0.0,3
111094,0.0,0.0,0.0,0.0,3
111095,0.0,0.0,0.0,0.0,3
111096,0.0,0.0,0.0,0.0,3
111097,0.0,0.0,0.0,0.0,3
111098,0.0,0.0,0.0,0.0,3
111099,0.0,0.0,0.0,0.0,3
112011,191.6850190761211,7.299358355529044,1.6880888938903809,1.6880888938903809,3
112012,574.8151187092759,3.1983570108794463,0.440448135137558,0.7240352630615234,3
112013,1342.6167711303615,10.157714755552204,26.925893783569336,70.86637878417969,3
112014,8827.73172980213,30.104499445829607,3.642084836959839,30.924392700195312,3
112015,1726.3962600534082,43.540702601108855,7.29541015625,10.72567367553711,3
112016,0.0,0.0,0.0,0.0,3
112017,957.9397488098361,8.380403885723611,3.071225643157959,5.723487854003906,3
112018,573.765177930414,4.572300789669559,0.17903375625610352,0.32857704162597656,3
112019,191.38560908445956,0.49133378653202003,0.3186492919921875,0.3186492919921875,3
112020,0.0,0.0,0.0,0.0,3
112030,0.0,0.0,0.0,0.0,3
112041,1347.344504728319,38.12449699505581,3.0108163356781006,7.335493087768555,3
112042,384.86202949872046,4.696207282886614,1.082200527191162,2.0792083740234375,3
112043,192.41634197576172,20.401694975582785,14.948375701904297,14.948375701904297,3
112044,576.9656936769734,12.146198691142397,6.784248352050781,8.986980438232422,3
112045,384.67771754750765,17.591258167810643,13.698012351989746,20.34942626953125,3
112046,4226.311345075826,27.144195549410938,1.619191288948059,10.471485137939453,3
112047,1152.955069877806,5.970910279137758,0.9690476059913635,2.2760415077209473,3
112048,0.0,0.0,0.0,0.0,3
112049,0.0,0.0,0.0,0.0,3
112050,0.0,0.0,0.0,0.0,3
112060,962.6365692121453,12.459934138199642,3.1173951625823975,5.447683811187744,3
112070,385.08214196629297,19.82536508042454,0.8698785305023193,1.700160026550293,3
112111,0.0,0.0,0.0,0.0,3
112112,0.0,0.0,0.0,0.0,3
112113,0.0,0.0,0.0,0.0,3
112114,0.0,0.0,0.0,0.0,3
112115,0.0,0.0,0.0,0.0,3
112116,0.0,0.0,0.0,0.0,3
112117,0.0,0.0,0.0,0.0,3
112118,0.0,0.0,0.0,0.0,3
112119,0.0,0.0,0.0,0.0,3
112120,0.0,0.0,0.0,0.0,3
112130,0.0,0.0,0.0,0.0,3
112140,0.0,0.0,0.0,0.0,3
112150,0.0,0.0,0.0,0.0,3
112160,0.0,0.0,0.0,0.0,3
112170,0.0,0.0,0.0,0.0,3
112180,0.0,0.0,0.0,0.0,3
112190,0.0,0.0,0.0,0.0,3
112200,0.0,0.0,0.0,0.0,3
112300,0.0,0.0,0.0,0.0,3
112400,570.5238103199974,2.196810573329759,0.5614462494850159,0.9674019813537598,3
112500,0.0,0.0,0.0,0.0,3
112600,0.0,0.0,0.0,0.0,3
112700,954.3112427967059,12.28716269665867,0.5754789710044861,1.0915194749832153,3
112801,1527.3562180308584,26.703054155934613,0.5980072021484375,1.2166576385498047,3
112802,381.4400975241314,6.3190666908557,2.564922332763672,3.3512725830078125,3
112803,1525.570216033057,10.458190353838397,3.310570240020752,4.138006210327148,3
112804,951.4501176236971,12.303675514876618,1.655660629272461,1.9874587059020996,3
112805,1143.4865292780428,24.393021087850737,2.233137845993042,3.0431623458862305,3
112806,0.0,0.0,0.0,0.0,3
112807,952.1344887853555,11.69659735796637,0.6862017512321472,1.827620506286621,3
112808,0.0,0.0,0.0,0.0,3
112809,0.0,0.0,0.0,0.0,3
112901,0.0,0.0,0.0,0.0,3
112902,0.0,0.0,0.0,0.0,3
112903,0.0,0.0,0.0,0.0,3
112904,0.0,0.0,0.0,0.0,3
112905,0.0,0.0,0.0,0.0,3
112906,0.0,0.0,0.0,0.0,3
112907,0.0,0.0,0.0,0.0,3
112908,0.0,0.0,0.0,0.0,3
112909,1348.4757296955759,7.72837208781317,0.7686421275138855,1.8792082071304321,3
113000,0.0,0.0,0.0,0.0,3
114001,770.2607048361318,1.6488321728294852,0.10423874855041504,0.1963968276977539,3
114002,0.0,0.0,0.0,0.0,3
114100,385.7977969164584,27.17040879912575,43.73109817504883,85.29534912109375,3
114210,2893.49540816319,20.13617187461335,11.218857765197754,158.0345458984375,3
114221,964.3999614972237,46.89397708483335,1.0410025119781494,2.7727818489074707,3
114222,192.8750363961789,3.8715684590764776,0.1504654884338379,0.1504654884338379,3
114223,0.0,0.0,0.0,0.0,3
114224,771.5313494053759,1.1641757427522343,0.35112446546554565,0.8431239128112793,3
114225,0.0,0.0,0.0,0.0,3
114226,0.0,0.0,0.0,0.0,3
114227,0.0,0.0,0.0,0.0,3
114228,0.0,0.0,0.0,0.0,3
114229,0.0,0.0,0.0,0.0,3
114230,771.566224719947,36.11163386179941,1.3652324676513672,2.621089458465576,3
114240,0.0,0.0,0.0,0.0,3
114250,0.0,0.0,0.0,0.0,3
