pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
422183,649.4802702019999,RUS,Russia,Yevrey,1.021440733,0.0
422184,2527.50827944199,RUS,Russia,Yevrey,0.32054588,0.0
422185,1250.4474307947098,RUS,Russia,Khabarovsk,4.006977769,0.0
422186,2149.51587143,RUS,Russia,Khabarovsk,0.0,0.0
422187,2379.83597022949,RUS,Russia,Khabarovsk,4.009321064,0.0
422188,2304.114300821,RUS,Russia,Khabarovsk,3.257280779,0.0
422189,3542.1767223982,RUS,Russia,Khabarovsk,0.112144565,0.0
422190,118.852703406,RUS,Russia,Khabarovsk,0.136607888,0.0
422210,8290.141230070001,CHN,China,Heilongjiang,0.293407466,0.0
422220,24620.350092825523,RUS,Russia,Khabarovsk,3.0940400460000004,0.0
422230,5471.423245364999,RUS,Russia,Khabarovsk,1.456725021,0.0
422240,23267.175986513004,CHN,China,Heilongjiang,1.18674357,0.0
422251,302.7609496548,CHN,China,Heilongjiang,1.199503314,0.0
422252,930.7100706368001,RUS,Russia,Khabarovsk,0.0,0.0
422253,971.3060013080001,CHN,China,Heilongjiang,1.6729355540000002,0.0
422254,22214.749578448238,RUS,Russia,Primor'ye,1.221022925,0.0
422255,3782.1688989791,CHN,China,Heilongjiang,0.743572585,0.0
422256,1647.126126755,CHN,China,Heilongjiang,0.384979189,0.0
422257,43.676638367289996,CHN,China,Heilongjiang,1.0808993340000002,0.0
422258,3071.1803828499997,CHN,China,Heilongjiang,0.255388881,0.0
422259,150.69741557662,RUS,Russia,Primor'ye,0.7895966040000001,0.0
422260,29795.088850641263,RUS,Russia,Primor'ye,4.010981645,0.0
422270,328.78246034959,RUS,Russia,Primor'ye,4.021732158,0.0
422281,1847.9304841609003,CHN,China,Heilongjiang,4.063646513999999,0.0
422282,24874.424532941397,RUS,Russia,Primor'ye,4.00338624,0.0
422283,4143.618280823201,RUS,Russia,Primor'ye,3.8913961610000003,0.0
422284,7006.3304113471995,RUS,Russia,Primor'ye,1.229345869,0.0
422285,1053.46434,RUS,Russia,Primor'ye,3.444495833,0.0
422286,4984.0602296938705,RUS,Russia,Primor'ye,3.1290434310000004,0.0
422287,670.083780964,RUS,Russia,Primor'ye,3.9957944110000003,0.0
422288,3354.6616657279997,RUS,Russia,Primor'ye,3.6457845939999998,0.0
422289,5816.191054404,RUS,Russia,Primor'ye,2.7523843039999996,0.0
422290,17532.402189626806,CHN,China,Heilongjiang,2.743233185,0.0
422300,25991.38669905802,RUS,Russia,Yevrey,2.114300437,0.0
