,continet,country,year,geotype,res,link,imageurl,imagesize
28,Africa,Madagascar,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49646,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/MDG/mdg_ppp_2020_constrained.tif,22.49
29,Africa,Malawi,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49647,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/MWI/mwi_ppp_2020_constrained.tif,11.33
30,Africa,Mali,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49648,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/MLI/mli_ppp_2020_constrained.tif,26.38
31,Africa,Mauritania,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49649,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/MRT/mrt_ppp_2020_constrained.tif,14.33
32,Africa,Mauritius,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49650,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/MUS/mus_ppp_2020_constrained.tif,7.53
33,Africa,Mayotte,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49766,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/MYT/myt_ppp_2020_constrained.tif,0.04
34,Africa,Morocco,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49836,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/MAR/mar_ppp_2020_constrained.tif,13.87
35,Africa,Mozambique,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49651,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/MOZ/moz_ppp_2020_constrained.tif,38.11
36,Africa,Namibia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49652,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/NAM/nam_ppp_2020_constrained.tif,15.94
37,Africa,Niger,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49653,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/NER/ner_ppp_2020_constrained.tif,20.79
38,Africa,Nigeria,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49654,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/maxar_v1/NGA/nga_ppp_2020_constrained.tif,50.0
